"","feature_id","feature_name","egyptian_arabic_value","coptic_value","ancestor_probability","ancestor_match_probability","ea_and_coptic_agree","feature_is_rare","feature_is_surprising"
"1","GB022","Are there prenominal articles?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"2","GB023","Are there postnominal articles?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"3","GB030","Is there a gender distinction in independent 3rd person pronouns?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"4","GB041","Are there several nouns (more than three) which are suppletive for number?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"5","GB051","Is there a gender/noun class system where sex is a factor in class assignment?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"6","GB059","Is the adnominal possessive construction different for alienable and inalienable nouns?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"7","GB072","Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"8","GB083","Is there overt morphological marking on the verb dedicated to past tense?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"9","GB084","Is there overt morphological marking on the verb dedicated to future tense?",1,1,0.5,0.5,TRUE,TRUE,TRUE
"10","GB094","Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"11","GB114","Is there a phonologically bound reflexive marker on the verb?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"12","GB136","Is the order of core argument (i.e. S/A/P) constituents fixed?",0,0,0.604933,0.395067,TRUE,FALSE,TRUE
"13","GB159","Are nouns reduplicated?",0,0,0.550667,0.449333,TRUE,FALSE,TRUE
"14","GB166","Is there productive morphological paucal marking on nouns?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"15","GB171","Can an adnominal demonstrative agree with the noun in gender/noun class?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"16","GB196","Is there a male/female distinction in 2nd person independent pronouns?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"17","GB198","Can an adnominal numeral agree with the noun in gender/noun class?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"18","GB204","Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"19","GB252","Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?",1,1,0.5,0.5,TRUE,FALSE,TRUE
"20","GB253","Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"21","GB254","Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"22","GB263","Is there a clause-final polar interrogative particle?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"23","GB276","Is there a non-bound comparative degree marker modifying the property word in a comparative construction?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"24","GB298","Can standard negation be marked by an inflecting word (""auxiliary verb"")?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"25","GB306","Is there a phonologically independent non-bipartite reciprocal pronoun?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"26","GB309","Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"27","GB313","Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"28","GB315","Can diminutive meaning be expressed productively by a shift of gender/noun class?",0,0,0.5,0.5,TRUE,FALSE,TRUE
"29","GB326","Do (nominal) content interrogatives normally or frequently occur in situ?",1,1,0.5,0.5,TRUE,TRUE,TRUE
